name,filename,group,source,gm_id,scale_id,pga_ms2,rms_acc_ms2,arias_proxy,duration_5_95_s,n_steps,dt,dominant_freq_hz,spectral_centroid_hz,band_0p1_1_hz,band_1_5_hz,band_5_10_hz,band_10_25_hz,sa_t0_ms2,psa_t0p2_ms2,psa_t0p5_ms2,psa_t1p0_ms2,psa_t2p0_ms2,psa_mean_0p1_0p5,psa_mean_0p5_1p5,psa_mean_1p5_4p0,pc1,pc2,train_nn_distance,train_nn_percentile
knet_gm1419_s09,knet_gm1419_s09.txt,train_pool,knet,1419.0,9.0,0.92793,0.11938098338801977,0.8551091516814202,16.400000000000002,3000,0.019999999999999574,0.9000000000000191,8.334976691582506,0.10347260349727026,0.38989509356313823,0.3224587793003987,0.1837817665316502,0.92793,1.913240151,1.363556874,0.6514767261,0.3378949193,2.0755578706666666,0.8297056887809523,0.24723028429666669,-3.0166841359899745,-1.4173583740730875,0.0,0.0
knet_gm1420_s09,knet_gm1420_s09.txt,train_pool,knet,1420.0,9.0,0.98677,0.12203025657715491,0.8934830112171562,15.639999999999997,3000,0.019999999999999574,3.46666666666674,8.10901703861585,0.07777917494829736,0.6514096096645311,0.1549315289109866,0.11572379175643902,0.98677,1.609338242,1.199536054,0.5520425725,0.5636976582,2.078347560222222,0.8228459723761906,0.28417009178568636,-1.958232575250322,0.057070026559121786,0.0,0.0
knet_gm1421_s09,knet_gm1421_s09.txt,train_pool,knet,1421.0,9.0,0.98866,0.13726137887887668,1.1304411679038062,17.9,3000,0.019999999999999574,1.1333333333333573,7.175527131870898,0.047965455193330925,0.424788622981387,0.46827200028703503,0.05892887180853569,0.98866,2.7040393,1.387522066,0.8890196592,0.2834173906,2.2142611087777775,0.8160034597904764,0.17039591710725494,-2.0839860651185633,0.07792139087387054,0.0,0.0
knet_gm1422_s09,knet_gm1422_s09.txt,train_pool,knet,1422.0,9.0,1.0,0.14417105635070457,1.2471176093566552,17.659999999999997,3000,0.019999999999999574,3.6166666666667435,7.0359217590149274,0.057725461073729285,0.48958674644434375,0.38523208072499004,0.0673825748136585,1.0,3.012759286,0.9398489762,0.7328137201,0.3335688559,2.150487944911111,0.8359679066523809,0.23919829204647058,-2.078518242491554,0.03596713948579372,0.0,0.0
knet_gm1423_s09,knet_gm1423_s09.txt,train_pool,knet,1423.0,9.0,1.0,0.08853337376827448,0.4702894962475699,9.600000000000001,3000,0.019999999999999574,1.0166666666666881,8.278695574876012,0.06890691902628228,0.5246878280172519,0.18508040687782046,0.22131482650222495,1.0,1.665573345,1.279957807,1.409660914,0.1570044131,1.4937613833333332,1.0868376092142855,0.11032182035588234,-2.5038365394162776,-0.058618614401343694,0.0,0.0
knet_gm1424_s09,knet_gm1424_s09.txt,train_pool,knet,1424.0,9.0,0.9381,0.07387482621104846,0.3274493968627506,8.120000000000001,3000,0.019999999999999574,2.8833333333333946,7.03549608826716,0.06637125839031417,0.6751283012854885,0.19391605903430412,0.06458310683124344,0.9381,1.872452301,1.682632802,0.815203129,0.1860066917,2.0519304066666666,0.8110011442047617,0.11543071967960786,-2.940502229018724,0.7477269288035224,8.429369702178807e-08,0.0
knet_gm1425_s09,knet_gm1425_s09.txt,train_pool,knet,1425.0,9.0,0.9974,0.19419073911466075,2.262602589473848,25.299999999999997,3000,0.019999999999999574,2.4833333333333862,3.2700092741373736,0.01605870083172414,0.9736218158287878,0.009996702849225539,0.00030791938623615024,0.9974,1.783894403,2.730512021,0.9146826606,0.2375217461,2.8930672834444437,0.9603152374190478,0.1692572622954902,1.245419910412378,3.0560641986840067,0.0,0.0
knet_gm1426_s09,knet_gm1426_s09.txt,train_pool,knet,1426.0,9.0,0.99781,0.11147301449465354,0.7455739776314986,15.8,3000,0.019999999999999574,1.2166666666666925,6.213066400957978,0.022255529551307933,0.6020397912708108,0.3181756913692361,0.05752151609626055,0.99781,2.314001593,1.436075524,0.8656426141,0.153418296,1.81653545,0.8994039464142858,0.10490252797176469,-2.0005159506799526,0.9508542965152262,0.0,0.0
knet_gm1427_s09,knet_gm1427_s09.txt,train_pool,knet,1427.0,9.0,1.0,0.13886108644040193,1.1569440796445027,21.7,3000,0.019999999999999574,4.233333333333423,5.994454929841553,0.03981129331006909,0.4478203336554788,0.4917864061694109,0.020567518106894438,1.0,3.804733221,1.229413662,0.5997289862,0.2519311439,2.453283738,0.6053427840761904,0.22501956573686277,-2.246789245748223,0.5700400282103274,5.960464477539063e-08,0.0
knet_gm1428_s09,knet_gm1428_s09.txt,train_pool,knet,1428.0,9.0,1.0,0.11646891804504747,0.8139005322350223,27.86,3000,0.019999999999999574,1.1833333333333584,4.244527090255332,0.089506999897665,0.8011460960514236,0.10676095446470667,0.0025147646331111443,1.0,1.724796343,1.516732051,0.9465809856,0.2969232055,1.809659682,0.9563910248476188,0.2072439763901961,-0.29920145721734315,1.3940514826372177,0.0,0.0
